Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,csys 1,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
15_38,Flatness,,0.146,0.200,0.146,Pass,
15_38,Centroid Z,-6.725,-8.260,"±1,000",-1.535,Fail,-0.535
ref 15_38,Flatness,,0.084,0.200,0.084,Pass,
ref 15_38,Centroid Z,-5.000,-6.431,"±1,000",-1.431,Fail,-0.431
15_36,Flatness,,0.143,0.200,0.143,Pass,
15_36,Centroid Z,-6.725,-7.961,"±1,000",-1.236,Fail,-0.236
ref 15_36,Flatness,,0.050,0.200,0.050,Pass,
ref 15_36,Centroid Z,-5.000,-6.141,"±1,000",-1.141,Fail,-0.141
15_34,Flatness,,0.206,0.200,0.206,Fail,0.006
15_34,Centroid Z,-6.725,-7.752,"±1,000",-1.027,Fail,-0.027
ref 15_34,Flatness,,0.125,0.200,0.125,Pass,
ref 15_34,Centroid Z,-5.000,-5.879,"±1,000",-0.879,Pass,
15_32,Flatness,,0.157,0.200,0.157,Pass,
15_32,Centroid Z,-6.725,-7.411,"±1,000",-0.686,Pass,
ref 15_32,Flatness,,0.110,0.200,0.110,Pass,
ref 15_32,Centroid Z,-5.000,-5.567,"±1,000",-0.567,Pass,
15_30,Flatness,,0.138,0.200,0.138,Pass,
15_30,Centroid Z,-6.725,-7.156,"±1,000",-0.431,Pass,
ref 15_30,Flatness,,0.074,0.200,0.074,Pass,
ref 15_30,Centroid Z,-5.000,-5.330,"±1,000",-0.330,Pass,
15_28,Flatness,,0.143,0.200,0.143,Pass,
15_28,Centroid Z,-6.725,-6.948,"±1,000",-0.223,Pass,
ref 15_28,Flatness,,0.041,0.200,0.041,Pass,
ref 15_28,Centroid Z,-5.000,-5.146,"±1,000",-0.146,Pass,
15_26,Flatness,,0.147,0.200,0.147,Pass,
15_26,Centroid Z,-6.725,-6.858,"±1,000",-0.133,Pass,
ref 15_26,Flatness,,0.052,0.200,0.052,Pass,
ref 15_26,Centroid Z,-5.000,-5.082,"±1,000",-0.082,Pass,
15_24,Flatness,,0.138,0.200,0.138,Pass,
15_24,Centroid Z,-6.725,-6.845,"±1,000",-0.120,Pass,
ref 15_24,Flatness,,0.080,0.200,0.080,Pass,
ref 15_24,Centroid Z,-5.000,-4.989,"±1,000",0.011,Pass,
15_22,Flatness,,0.077,0.200,0.077,Pass,
15_22,Centroid Z,-6.725,-6.753,"±1,000",-0.028,Pass,
ref 15_22,Flatness,,0.068,0.200,0.068,Pass,
ref 15_22,Centroid Z,-5.000,-4.914,"±1,000",0.086,Pass,
15_20,Flatness,,0.162,0.200,0.162,Pass,
15_20,Centroid Z,-6.725,-6.710,"±1,000",0.015,Pass,
ref 15_20,Flatness,,0.081,0.200,0.081,Pass,
ref 15_20,Centroid Z,-5.000,-4.878,"±1,000",0.122,Pass,
15_18,Flatness,,0.080,0.200,0.080,Pass,
15_18,Centroid Z,-6.725,-6.837,"±1,000",-0.112,Pass,
ref 15_18,Flatness,,0.034,0.200,0.034,Pass,
ref 15_18,Centroid Z,-5.000,-5.020,"±1,000",-0.020,Pass,
15_16,Flatness,,0.115,0.200,0.115,Pass,
15_16,Centroid Z,-6.725,-6.969,"±1,000",-0.244,Pass,
ref 15_16,Flatness,,0.066,0.200,0.066,Pass,
ref 15_16,Centroid Z,-5.000,-5.137,"±1,000",-0.137,Pass,
15_14,Flatness,,0.104,0.200,0.104,Pass,
15_14,Centroid Z,-6.725,-7.141,"±1,000",-0.416,Pass,
ref 15_14,Flatness,,0.029,0.200,0.029,Pass,
ref 15_14,Centroid Z,-5.000,-5.315,"±1,000",-0.315,Pass,
15_12,Flatness,,0.085,0.200,0.085,Pass,
15_12,Centroid Z,-6.725,-7.268,"±1,000",-0.543,Pass,
ref 15_12,Flatness,,0.041,0.200,0.041,Pass,
ref 15_12,Centroid Z,-5.000,-5.440,"±1,000",-0.440,Pass,
15_10,Flatness,,0.056,0.200,0.056,Pass,
15_10,Centroid Z,-6.725,-7.394,"±1,000",-0.669,Pass,
ref 15_10,Flatness,,0.036,0.200,0.036,Pass,
ref 15_10,Centroid Z,-5.000,-5.564,"±1,000",-0.564,Pass,
15_8,Flatness,,0.046,0.200,0.046,Pass,
15_8,Centroid Z,-6.725,-7.600,"±1,000",-0.875,Pass,
ref 15_8,Flatness,,0.015,0.200,0.015,Pass,
ref 15_8,Centroid Z,-5.000,-5.764,"±1,000",-0.764,Pass,
15_6,Flatness,,0.097,0.200,0.097,Pass,
15_6,Centroid Z,-6.725,-7.747,"±1,000",-1.022,Fail,-0.022
ref 15_6,Flatness,,0.060,0.200,0.060,Pass,
ref 15_6,Centroid Z,-5.000,-5.922,"±1,000",-0.922,Pass,
15_4,Flatness,,0.137,0.200,0.137,Pass,
15_4,Centroid Z,-6.725,-7.920,"±1,000",-1.195,Fail,-0.195
ref 15_4,Flatness,,0.038,0.200,0.038,Pass,
ref 15_4,Centroid Z,-5.000,-6.081,"±1,000",-1.081,Fail,-0.081
15_2,Flatness,,0.171,0.200,0.171,Pass,
15_2,Centroid Z,-6.725,-8.024,"±1,000",-1.299,Fail,-0.299
ref 15_2,Flatness,,0.075,0.200,0.075,Pass,
ref 15_2,Centroid Z,-5.000,-6.239,"±1,000",-1.239,Fail,-0.239
13_32,Flatness,,0.152,0.200,0.152,Pass,
13_32,Centroid Z,-6.725,-8.454,"±1,000",-1.729,Fail,-0.729
ref 13_32,Flatness,,0.033,0.200,0.033,Pass,
ref 13_32,Centroid Z,-5.000,-6.626,"±1,000",-1.626,Fail,-0.626
13_30,Flatness,,0.133,0.200,0.133,Pass,
13_30,Centroid Z,-6.725,-8.162,"±1,000",-1.437,Fail,-0.437
ref 13_30,Flatness,,0.076,0.200,0.076,Pass,
ref 13_30,Centroid Z,-5.000,-6.316,"±1,000",-1.316,Fail,-0.316
13_28,Flatness,,0.109,0.200,0.109,Pass,
13_28,Centroid Z,-6.725,-7.930,"±1,000",-1.205,Fail,-0.205
ref 13_28,Flatness,,0.030,0.200,0.030,Pass,
ref 13_28,Centroid Z,-5.000,-6.096,"±1,000",-1.096,Fail,-0.096
13_26,Flatness,,0.208,0.200,0.208,Fail,0.008
13_26,Centroid Z,-6.725,-7.646,"±1,000",-0.921,Pass,
