Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,Koordsys 1,,,,,,
Data Alignments,Gem. Objekte 1,,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
point 1,X,-1022.286,-1022.211,"±1,000",0.075,Pass,
point 1,Y,42.282,42.299,"±1,000",0.017,Pass,
point 1,Z,-14.965,-15.230,"±1,000",-0.265,Pass,
point 2,X,-975.826,-975.751,"±1,000",0.075,Pass,
point 2,Y,40.360,40.370,"±1,000",0.010,Pass,
point 2,Z,-14.965,-15.039,"±1,000",-0.074,Pass,
point 3,X,-1001.384,-1001.305,"±1,000",0.079,Pass,
point 3,Y,209.968,209.942,"±1,000",-0.026,Pass,
point 3,Z,-14.965,-14.674,"±1,000",0.291,Pass,
point 4,X,-955.874,-955.830,"±1,000",0.044,Pass,
point 4,Y,200.426,200.403,"±1,000",-0.023,Pass,
point 4,Z,-14.965,-14.762,"±1,000",0.203,Pass,
point 5,X,-953.167,-953.104,"±1,000",0.063,Pass,
point 5,Y,371.927,371.923,"±1,000",-0.004,Pass,
point 5,Z,-14.965,-14.911,"±1,000",0.054,Pass,
point 6,X,-909.848,-909.802,"±1,000",0.046,Pass,
point 6,Y,355.024,355.025,"±1,000",0.001,Pass,
point 6,Z,-14.965,-15.063,"±1,000",-0.098,Pass,
point 7,X,-878.950,-878.906,"±1,000",0.044,Pass,
point 7,Y,523.740,523.756,"±1,000",0.016,Pass,
point 7,Z,-14.965,-14.910,"±1,000",0.055,Pass,
point 8,X,-839.004,-839.007,"±1,000",-0.003,Pass,
point 8,Y,499.938,500.002,"±1,000",0.064,Pass,
point 8,Z,-14.965,-15.000,"±1,000",-0.035,Pass,
point 9,X,-780.757,-780.677,"±1,000",0.080,Pass,
point 9,Y,661.268,661.316,"±1,000",0.048,Pass,
point 9,Z,-14.965,-14.935,"±1,000",0.030,Pass,
point 10,X,-745.274,-745.186,"±1,000",0.088,Pass,
point 10,Y,631.215,631.301,"±1,000",0.086,Pass,
point 10,Z,-14.965,-15.079,"±1,000",-0.114,Pass,
point 11,X,-661.268,-661.195,"±1,000",0.073,Pass,
point 11,Y,780.757,780.791,"±1,000",0.034,Pass,
point 11,Z,-14.965,-14.862,"±1,000",0.103,Pass,
point 12,X,-631.215,-631.133,"±1,000",0.082,Pass,
point 12,Y,745.274,745.317,"±1,000",0.043,Pass,
point 12,Z,-14.965,-14.919,"±1,000",0.046,Pass,
point 13,X,-523.740,-523.719,"±1,000",0.021,Pass,
point 13,Y,878.950,878.941,"±1,000",-0.009,Pass,
point 13,Z,-14.965,-14.795,"±1,000",0.170,Pass,
point 14,X,-499.938,-499.901,"±1,000",0.037,Pass,
point 14,Y,839.004,839.018,"±1,000",0.014,Pass,
point 14,Z,-14.965,-14.987,"±1,000",-0.022,Pass,
point 15,X,-371.927,-371.871,"±1,000",0.056,Pass,
point 15,Y,953.167,953.167,"±1,000",0.000,Pass,
point 15,Z,-14.965,-14.789,"±1,000",0.176,Pass,
point 16,X,-355.024,-354.987,"±1,000",0.037,Pass,
point 16,Y,909.848,909.864,"±1,000",0.016,Pass,
point 16,Z,-14.965,-14.933,"±1,000",0.032,Pass,
point 17,X,-209.968,-209.951,"±1,000",0.017,Pass,
point 17,Y,1001.384,1001.381,"±1,000",-0.003,Pass,
point 17,Z,-14.965,-14.724,"±1,000",0.241,Pass,
point 18,X,-200.426,-200.409,"±1,000",0.017,Pass,
point 18,Y,955.874,955.892,"±1,000",0.018,Pass,
point 18,Z,-14.965,-14.818,"±1,000",0.147,Pass,
point 19,X,-42.282,-42.293,"±1,000",-0.011,Pass,
point 19,Y,1022.286,1022.275,"±1,000",-0.011,Pass,
point 19,Z,-14.965,-14.683,"±1,000",0.282,Pass,
point 20,X,-40.360,-40.384,"±1,000",-0.024,Pass,
point 20,Y,975.826,975.851,"±1,000",0.025,Pass,
point 20,Z,-14.965,-14.859,"±1,000",0.106,Pass,
point 21,X,126.557,126.507,"±1,000",-0.050,Pass,
point 21,Y,1015.303,1015.295,"±1,000",-0.008,Pass,
point 21,Z,-14.965,-14.880,"±1,000",0.085,Pass,
point 22,X,120.806,120.741,"±1,000",-0.065,Pass,
point 22,Y,969.160,969.174,"±1,000",0.014,Pass,
point 22,Z,-14.965,-14.988,"±1,000",-0.023,Pass,
point 23,X,291.945,291.925,"±1,000",-0.020,Pass,
point 23,Y,980.625,980.627,"±1,000",0.002,Pass,
point 23,Z,-14.965,-14.936,"±1,000",0.029,Pass,
point 24,X,278.676,278.661,"±1,000",-0.015,Pass,
point 24,Y,936.058,936.058,"±1,000",0.000,Pass,
point 24,Z,-14.965,-15.047,"±1,000",-0.082,Pass,
point 25,X,449.368,449.377,"±1,000",0.009,Pass,
point 25,Y,919.198,919.149,"±1,000",-0.049,Pass,
point 25,Z,-14.965,-14.970,"±1,000",-0.005,Pass,
point 26,X,428.946,428.935,"±1,000",-0.011,Pass,
point 26,Y,877.422,877.413,"±1,000",-0.009,Pass,
point 26,Z,-14.965,-15.105,"±1,000",-0.140,Pass,
point 27,X,594.535,594.484,"±1,000",-0.051,Pass,
point 27,Y,832.697,832.707,"±1,000",0.010,Pass,
point 27,Z,-14.965,-15.013,"±1,000",-0.048,Pass,
point 28,X,567.514,567.426,"±1,000",-0.088,Pass,
point 28,Y,794.854,794.850,"±1,000",-0.004,Pass,
point 28,Z,-14.965,-15.136,"±1,000",-0.171,Pass,
point 29,X,723.483,723.427,"±1,000",-0.056,Pass,
point 29,Y,723.483,723.467,"±1,000",-0.016,Pass,
point 29,Z,-14.965,-15.130,"±1,000",-0.165,Pass,
point 30,X,690.603,690.535,"±1,000",-0.068,Pass,
point 30,Y,690.603,690.614,"±1,000",0.011,Pass,
point 30,Z,-14.965,-15.254,"±1,000",-0.289,Pass,
point 31,X,832.697,832.616,"±1,000",-0.081,Pass,
point 31,Y,594.535,594.442,"±1,000",-0.093,Pass,
point 31,Z,-14.965,-15.167,"±1,000",-0.202,Pass,
point 32,X,794.853,794.756,"±1,000",-0.097,Pass,
point 32,Y,567.515,567.522,"±1,000",0.007,Pass,
point 32,Z,-14.965,-15.158,"±1,000",-0.193,Pass,
point 33,X,919.198,919.129,"±1,000",-0.069,Pass,
point 33,Y,449.368,449.296,"±1,000",-0.072,Pass,
point 33,Z,-14.965,-15.256,"±1,000",-0.291,Pass,
point 34,X,877.423,877.334,"±1,000",-0.089,Pass,
point 34,Y,428.946,428.979,"±1,000",0.033,Pass,
point 34,Z,-14.965,-15.202,"±1,000",-0.237,Pass,
point 35,X,980.625,980.548,"±1,000",-0.077,Pass,
point 35,Y,291.945,291.874,"±1,000",-0.071,Pass,
point 35,Z,-14.965,-15.189,"±1,000",-0.224,Pass,
point 36,X,936.058,935.977,"±1,000",-0.081,Pass,
point 36,Y,278.677,278.699,"±1,000",0.022,Pass,
point 36,Z,-14.965,-15.110,"±1,000",-0.145,Pass,
point 37,X,1015.303,1015.200,"±1,000",-0.103,Pass,
point 37,Y,126.557,126.499,"±1,000",-0.058,Pass,
point 37,Z,-14.965,-14.883,"±1,000",0.082,Pass,
point 38,X,969.160,969.072,"±1,000",-0.088,Pass,
point 38,Y,120.806,120.863,"±1,000",0.057,Pass,
point 38,Z,-14.965,-14.719,"±1,000",0.246,Pass,
point 39,X,-853.521,-853.562,"±1,000",-0.041,Pass,
point 39,Y,41.931,41.934,"±1,000",0.003,Pass,
point 39,Z,-14.965,-14.946,"±1,000",0.019,Pass,
point 40,X,-807.077,-807.109,"±1,000",-0.032,Pass,
point 40,Y,39.649,39.638,"±1,000",-0.011,Pass,
point 40,Z,-14.965,-14.599,"±1,000",0.366,Pass,
point 41,X,-828.940,-828.968,"±1,000",-0.028,Pass,
point 41,Y,207.639,207.628,"±1,000",-0.011,Pass,
point 41,Z,-14.965,-15.073,"±1,000",-0.108,Pass,
point 42,X,-783.834,-783.849,"±1,000",-0.015,Pass,
point 42,Y,196.340,196.330,"±1,000",-0.010,Pass,
point 42,Z,-14.965,-14.957,"±1,000",0.008,Pass,
point 43,X,-772.504,-772.543,"±1,000",-0.039,Pass,
point 43,Y,365.367,365.379,"±1,000",0.012,Pass,
point 43,Z,-14.965,-15.036,"±1,000",-0.071,Pass,
point 44,X,-730.469,-730.499,"±1,000",-0.030,Pass,
point 44,Y,345.486,345.469,"±1,000",-0.017,Pass,
point 44,Z,-14.965,-15.099,"±1,000",-0.134,Pass,
point 45,X,-686.381,-686.425,"±1,000",-0.044,Pass,
point 45,Y,509.055,509.035,"±1,000",-0.020,Pass,
point 45,Z,-14.965,-15.025,"±1,000",-0.060,Pass,
point 46,X,-649.032,-649.073,"±1,000",-0.041,Pass,
