Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,rotated,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
insert 1,X,-607.340,-607.355,"±1,000",-0.015,Pass,
insert 1,Y,-14.895,-14.918,"±1,000",-0.023,Pass,
insert 1,Z,-5.625,-7.420,"±1,000",-1.795,Fail,-0.795
insert 2,X,-597.532,-597.552,"±1,000",-0.020,Pass,
insert 2,Y,109.720,109.709,"±1,000",-0.011,Pass,
insert 2,Z,-5.625,-7.708,"±1,000",-2.083,Fail,-1.083
insert 3,X,-542.443,-542.455,"±1,000",-0.012,Pass,
insert 3,Y,105.384,105.380,"±1,000",-0.004,Pass,
insert 3,Z,-5.625,-7.698,"±1,000",-2.073,Fail,-1.073
insert 4,X,-582.217,-582.233,"±1,000",-0.016,Pass,
insert 4,Y,173.513,173.499,"±1,000",-0.014,Pass,
insert 4,Z,-5.625,-7.890,"±1,000",-2.265,Fail,-1.265
insert 5,X,-534.382,-534.274,"±1,000",0.108,Pass,
insert 5,Y,288.998,288.999,"±1,000",0.001,Pass,
insert 5,Z,-5.625,-7.774,"±1,000",-2.149,Fail,-1.149
insert 6,X,-483.328,-483.331,"±1,000",-0.003,Pass,
insert 6,Y,267.851,267.836,"±1,000",-0.015,Pass,
insert 6,Z,-5.625,-8.069,"±1,000",-2.444,Fail,-1.444
insert 7,X,-500.103,-500.044,"±1,000",0.059,Pass,
insert 7,Y,344.935,344.997,"±1,000",0.062,Pass,
insert 7,Z,-5.625,-8.024,"±1,000",-2.399,Fail,-1.399
insert 8,X,-418.922,-418.920,"±1,000",0.002,Pass,
insert 8,Y,439.986,439.939,"±1,000",-0.047,Pass,
insert 8,Z,-5.625,-7.911,"±1,000",-2.286,Fail,-1.286
insert 9,X,-376.902,-376.909,"±1,000",-0.007,Pass,
insert 9,Y,404.098,404.083,"±1,000",-0.015,Pass,
insert 9,Z,-5.625,-7.928,"±1,000",-2.303,Fail,-1.303
insert 10,X,-369.035,-369.046,"±1,000",-0.011,Pass,
insert 10,Y,482.593,482.546,"±1,000",-0.047,Pass,
insert 10,Z,-5.625,-7.972,"±1,000",-2.347,Fail,-1.347
insert 11,X,-262.455,-262.383,"±1,000",0.072,Pass,
insert 11,Y,547.906,547.873,"±1,000",-0.033,Pass,
insert 11,Z,-5.625,-8.009,"±1,000",-2.384,Fail,-1.384
insert 12,X,-233.582,-233.589,"±1,000",-0.007,Pass,
insert 12,Y,500.789,500.747,"±1,000",-0.042,Pass,
insert 12,Z,-5.625,-7.899,"±1,000",-2.274,Fail,-1.274
insert 13,X,-201.844,-201.719,"±1,000",0.125,Pass,
insert 13,Y,573.012,573.026,"±1,000",0.014,Pass,
insert 13,Z,-5.625,-8.060,"±1,000",-2.435,Fail,-1.435
insert 14,X,-80.298,-80.334,"±1,000",-0.036,Pass,
insert 14,Y,602.193,602.160,"±1,000",-0.033,Pass,
