Feature Table,,,,,,,
Length Units,Millimeters,,,,,,
Coordinate Systems,world,,,,,,
Data Alignments,"plane, axis, center point 1",,,,,,
,,,,,,,
Name,Control,Nom,Meas,Tol,Dev,Test,Out Tol
insert 1,X,607.340,607.180,"±1,000",-0.160,Pass,
insert 1,Y,-14.895,-14.745,"±1,000",0.150,Pass,
insert 1,Z,5.625,6.410,"±1,000",0.785,Pass,
insert 2,X,597.532,597.498,"±1,000",-0.034,Pass,
insert 2,Y,109.720,109.707,"±1,000",-0.013,Pass,
insert 2,Z,5.625,6.411,"±1,000",0.786,Pass,
insert 3,X,542.443,542.376,"±1,000",-0.067,Pass,
insert 3,Y,105.384,105.477,"±1,000",0.093,Pass,
insert 3,Z,5.625,6.521,"±1,000",0.896,Pass,
insert 4,X,582.217,582.104,"±1,000",-0.113,Pass,
insert 4,Y,173.513,173.672,"±1,000",0.159,Pass,
insert 4,Z,5.625,6.123,"±1,000",0.498,Pass,
insert 5,X,534.382,534.181,"±1,000",-0.201,Pass,
insert 5,Y,288.998,289.084,"±1,000",0.086,Pass,
insert 5,Z,5.625,6.364,"±1,000",0.739,Pass,
insert 6,X,483.328,483.219,"±1,000",-0.109,Pass,
insert 6,Y,267.851,267.960,"±1,000",0.109,Pass,
insert 6,Z,5.625,6.500,"±1,000",0.875,Pass,
insert 7,X,500.103,499.959,"±1,000",-0.144,Pass,
insert 7,Y,344.935,345.012,"±1,000",0.077,Pass,
insert 7,Z,5.625,6.669,"±1,000",1.044,Fail,0.044
insert 8,X,418.922,418.787,"±1,000",-0.135,Pass,
insert 8,Y,439.986,440.007,"±1,000",0.021,Pass,
insert 8,Z,5.625,7.016,"±1,000",1.391,Fail,0.391
insert 9,X,376.902,376.807,"±1,000",-0.095,Pass,
insert 9,Y,404.098,404.139,"±1,000",0.041,Pass,
insert 9,Z,5.625,6.778,"±1,000",1.153,Fail,0.153
insert 10,X,369.035,368.965,"±1,000",-0.070,Pass,
insert 10,Y,482.593,482.599,"±1,000",0.006,Pass,
insert 10,Z,5.625,6.891,"±1,000",1.266,Fail,0.266
insert 11,X,262.455,262.394,"±1,000",-0.061,Pass,
insert 11,Y,547.906,547.895,"±1,000",-0.011,Pass,
insert 11,Z,5.625,6.822,"±1,000",1.197,Fail,0.197
insert 12,X,233.582,233.518,"±1,000",-0.064,Pass,
insert 12,Y,500.789,500.799,"±1,000",0.010,Pass,
insert 12,Z,5.625,6.718,"±1,000",1.093,Fail,0.093
insert 13,X,201.844,201.752,"±1,000",-0.092,Pass,
insert 13,Y,573.012,572.984,"±1,000",-0.028,Pass,
insert 13,Z,5.625,6.784,"±1,000",1.159,Fail,0.159
insert 14,X,80.298,80.205,"±1,000",-0.093,Pass,
insert 14,Y,602.193,602.180,"±1,000",-0.013,Pass,
insert 14,Z,5.625,6.817,"±1,000",1.192,Fail,0.192
insert 15,X,67.397,67.304,"±1,000",-0.093,Pass,
insert 15,Y,548.459,548.517,"±1,000",0.058,Pass,
